dataset,experiment,runs,mean_test_accuracy,std_test_accuracy,mean_test_f1_macro,std_test_f1_macro,mean_val_accuracy,mean_best_epoch,mean_running_time_seconds,paper_gcn_accuracy,delta_vs_paper_gcn,paper_random_split_mean,paper_random_split_std,delta_vs_paper_random_mean
citeseer,baseline,1,0.68,0.0,0.6453453983844869,0.0,0.714,113.0,2.119371175765991,0.703,-0.02299999999999991,0.679,0.005,0.0010000000000000009
citeseer,citeseer_macro_f1,1,0.68,0.0,0.64615294554735,0.0,0.692,71.0,1.6374452114105225,0.703,-0.02299999999999991,0.679,0.005,0.0010000000000000009
citeseer,citeseer_tuned,1,0.688,0.0,0.6536023343237166,0.0,0.71,127.0,2.359973669052124,0.703,-0.015000000000000013,0.679,0.005,0.008999999999999897
citeseer,deep,1,0.665,0.0,0.6147638001436638,0.0,0.708,70.0,1.772057294845581,0.703,-0.03799999999999992,0.679,0.005,-0.014000000000000012
citeseer,low_dropout,1,0.688,0.0,0.6536023343237166,0.0,0.71,127.0,2.289405584335327,0.703,-0.015000000000000013,0.679,0.005,0.008999999999999897
citeseer,paper_gcn,10,0.6824000000000001,0.0056607812574276505,0.6487824787284574,0.005774569196271686,0.6946,192.6,2.2162204027175902,0.703,-0.02059999999999984,0.679,0.005,0.0034000000000000696
citeseer,wide,1,0.69,0.0,0.6556462751255779,0.0,0.714,129.0,2.289339303970337,0.703,-0.013000000000000012,0.679,0.005,0.010999999999999899
cora,baseline,1,0.782,0.0,0.7765865259557438,0.0,0.806,16.0,0.9768657684326172,0.815,-0.03299999999999992,0.801,0.005,-0.019000000000000017
cora,cora_tuned,1,0.784,0.0,0.7665268403214567,0.0,0.812,21.0,1.143165111541748,0.815,-0.030999999999999917,0.801,0.005,-0.017000000000000015
cora,deep,1,0.75,0.0,0.7386745132145176,0.0,0.764,41.0,1.3261218070983887,0.815,-0.06499999999999995,0.801,0.005,-0.051000000000000045
cora,low_dropout,1,0.79,0.0,0.7823537734245186,0.0,0.8,19.0,1.0263621807098389,0.815,-0.02499999999999991,0.801,0.005,-0.01100000000000001
cora,paper_gcn,10,0.7635000000000001,0.006363961030678934,0.751163137004066,0.005415996050149008,0.7736,153.6,2.023478960990906,0.815,-0.05149999999999988,0.801,0.005,-0.03749999999999998
cora,wide,1,0.783,0.0,0.7754889880190594,0.0,0.79,15.0,0.9985153675079346,0.815,-0.03199999999999992,0.801,0.005,-0.018000000000000016
pubmed,baseline,1,0.792,0.0,0.7850133755005609,0.0,0.814,194.0,2.8591904640197754,0.79,0.0020000000000000018,0.789,0.007,0.0030000000000000027
pubmed,deep,1,0.793,0.0,0.7796677500902853,0.0,0.812,141.0,2.5881636142730713,0.79,0.0030000000000000027,0.789,0.007,0.0040000000000000036
pubmed,low_dropout,1,0.779,0.0,0.7721306810600082,0.0,0.814,120.0,2.200122594833374,0.79,-0.01100000000000001,0.789,0.007,-0.010000000000000009
pubmed,paper_gcn,10,0.7813000000000001,0.007616502551113025,0.7722930873743971,0.007886164953244143,0.7936000000000001,159.7,1.962503695487976,0.79,-0.00869999999999993,0.789,0.007,-0.007699999999999929
pubmed,pubmed_tuned,1,0.774,0.0,0.764927856070719,0.0,0.804,112.0,2.127239227294922,0.79,-0.016000000000000014,0.789,0.007,-0.015000000000000013
pubmed,wide,1,0.795,0.0,0.7876976630315117,0.0,0.814,87.0,1.890728235244751,0.79,0.0050000000000000044,0.789,0.007,0.006000000000000005
