dataset,experiment,best_epoch,hidden_dims,dropout,learning_rate,weight_decay,seed,normalize_features,label_smoothing,epochs_completed,train_accuracy,val_accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,running_time_seconds
cora,baseline,258,64,0.5,0.01,0.0005,2,True,0.0,338,0.9298892988929889,0.8745387453874539,0.8814814814814815,0.8793270489616002,0.8721153403960685,0.874876905092505,0.883269858347924,0.8814814814814815,0.8816626554241055,7.253804922103882
cora,wide,161,128,0.5,0.01,0.0005,2,True,0.0,241,0.9274292742927429,0.8690036900369004,0.8777777777777778,0.874584947604543,0.8679516648330459,0.8705578040549505,0.8787681300054352,0.8777777777777778,0.8777386236996609,3.6321661472320557
cora,deep,144,128-64,0.55,0.005,0.0005,2,True,0.0,224,0.9391143911439115,0.8856088560885609,0.8925925925925926,0.88363213148482,0.8879118346300893,0.8847246299813569,0.8946712168224749,0.8925925925925926,0.8925815652632317,2.903454303741455
cora,low_dropout,259,64,0.35,0.01,0.0005,2,True,0.0,339,0.9274292742927429,0.8763837638376384,0.8833333333333333,0.8856790617583684,0.8689734878978067,0.8761770236977522,0.8859026130839969,0.8833333333333333,0.8834196477629901,4.343145132064819
cora,cora_tuned,345,64,0.25,0.01,0.0005,4,True,0.0,435,0.9292742927429274,0.8763837638376384,0.8833333333333333,0.8847356019186332,0.8736726012296986,0.8782406627406322,0.886100539292876,0.8833333333333333,0.8838113925416874,6.4269256591796875
pubmed,baseline,242,64,0.5,0.01,0.0005,2,True,0.0,322,0.8771766694843618,0.8711967545638946,0.8719249302561501,0.8684321561795132,0.8640042075946783,0.8658313490041678,0.8719984649898639,0.8719249302561501,0.8715506679541416,6.077389478683472
pubmed,wide,294,128,0.5,0.01,0.0005,2,True,0.0,374,0.8792054099746407,0.8717038539553753,0.8739538422520923,0.869289290255398,0.8672857713073254,0.8678261938733822,0.8743473737800254,0.8739538422520923,0.8736115929850465,6.666409969329834
pubmed,deep,383,128-64,0.55,0.005,0.0005,2,True,0.0,400,0.8870667793744716,0.8719574036511156,0.8762363682475273,0.8681042937589627,0.873995684364374,0.8706003675175423,0.8771993429305072,0.8762363682475273,0.8762760066887659,7.972896575927734
pubmed,low_dropout,331,64,0.35,0.01,0.0005,2,True,0.0,400,0.878021978021978,0.8714503042596349,0.8716713162566574,0.8669414397345899,0.8661604648161653,0.8659540171130274,0.8724067267522331,0.8716713162566574,0.8713303481268057,7.314359426498413
pubmed,pubmed_tuned,392,64,0.35,0.005,0.0005,7,True,0.0,450,0.8754860524091294,0.8691683569979716,0.8726857722546284,0.8682820879117249,0.8658304597442431,0.8666018996889374,0.8730230659797326,0.8726857722546284,0.872328672328123,8.562684059143066
citeseer,baseline,271,64,0.5,0.01,0.0005,2,True,0.0,351,0.857645875251509,0.7737556561085973,0.7488653555219364,0.7314928631026878,0.6902935275911267,0.6875252619899609,0.7432250485735221,0.7488653555219364,0.7343456340359432,5.193677186965942
citeseer,wide,202,128,0.5,0.01,0.0005,2,True,0.0,282,0.857645875251509,0.7782805429864253,0.7549167927382754,0.7317071674030436,0.6955382570618623,0.692901894218206,0.7467376024023108,0.7549167927382754,0.7402131308711384,3.954414129257202
citeseer,deep,104,128-64,0.55,0.005,0.0005,2,True,0.0,184,0.8732394366197183,0.7782805429864253,0.7382753403933434,0.7038497826238453,0.6821547652632564,0.6802387105830587,0.7278560970351523,0.7382753403933434,0.7259543093864498,2.6072561740875244
citeseer,low_dropout,361,64,0.35,0.01,0.0005,2,True,0.0,400,0.864185110663984,0.7767722473604827,0.7503782148260212,0.7188629148299985,0.6916940878152164,0.6890883906872758,0.7394605722058392,0.7503782148260212,0.7363803413841999,5.8212831020355225
citeseer,citeseer_tuned,361,64,0.35,0.01,0.0005,2,True,0.0,450,0.864185110663984,0.7767722473604827,0.7503782148260212,0.7188629148299985,0.6916940878152164,0.6890883906872758,0.7394605722058392,0.7503782148260212,0.7363803413841999,6.52462363243103
citeseer,citeseer_macro_f1,6,64,0.5,0.01,0.0005,1,False,0.0,96,0.8511066398390342,0.7828054298642534,0.7549167927382754,0.7247976892449869,0.7048321396019391,0.7064269929974677,0.7480488580022624,0.7549167927382754,0.7460947801180448,1.3987078666687012
